Q1 Is Python case sensitive when dealing with identifiers?,A.machine dependent,B.YES,C.NO,D.none of the mentioned,B,
Q2 Why are local variable names beginning with an underscore discouraged?,A.they are used to indicate global variables,B.they confuse the interpreter,C.they slow down execution,D.they are used to indicate a private variables of a class,D,
Q3 Which of the following is true for variable names in Python?,A.all private members must have leading and trailing underscores,B.underscore and ampersand are the only two special characters allowed,C.unlimited length,D.none of the mentioned,C,
Q4 Operators with the same precedence are evaluated in which manner?,A.Left to right,B.Right to left,C.Can't say,D.None of mentioned,A,
Q5 What is the output of this expression:3*1**3?,A.27,B.9,C.3,D.1,3,
Q6 What function can be used to surround a string with spaces in order to make it a certain length?,A.replace,B.count,C.upper,D.center,D,
Q7 Which of these in not a core data type?,A.Class,B.Lists,C.Dictionary,D.Tuples,A,
Q8 What is the return type of function id?,A.float,B.bool,C.int,D.dict,C,
Q9 What is the output of print 0.1 + 0.2 == 0.3?,A.Error,B.True,C.False,D.None of mentioned,C,
Q10 The formatting method {1:<10} represents the ___________ positional argument/_________ justified in a 10 character wide field.,A.first/right,B.second/left,C.first/left,D.second/right,B
